Time, Latitude, Longitude
2290, 			33.602665lon=-114.52134, 			lat=33.602665-114.52134
2295, 			33.629536lon=-114.414925, 			lat=33.629536-114.414925
2300, 			33.65019lon=-114.30695, 			lat=33.65019-114.30695
2305, 			33.657475lon=-114.24076, 			lat=33.657475-114.24076
2310, 			33.657436lon=-114.24099, 			lat=33.657436-114.24099
2315, 			33.65751lon=-114.24075, 			lat=33.65751-114.24075
2320, 			33.666622lon=-114.18872, 			lat=33.666622-114.18872
2325, 			33.678802lon=-114.07494, 			lat=33.678802-114.07494
2330, 			33.65608lon=-113.96581, 			lat=33.65608-113.96581
2335, 			33.642235lon=-113.85104, 			lat=33.642235-113.85104
2340, 			33.626167lon=-113.73683, 			lat=33.626167-113.73683
2345, 			33.609264lon=-113.623024, 			lat=33.609264-113.623024
2350, 			33.59238lon=-113.510124, 			lat=33.59238-113.510124
2355, 			33.575394lon=-113.39722, 			lat=33.575394-113.39722
2360, 			33.558296lon=-113.28439, 			lat=33.558296-113.28439
2365, 			33.54104lon=-113.171616, 			lat=33.54104-113.171616
2370, 			33.519lon=-113.06179, 			lat=33.519-113.06179
2375, 			33.499966lon=-112.94969, 			lat=33.499966-112.94969
2380, 			33.47535lon=-112.83888, 			lat=33.47535-112.83888
2385, 			33.451378lon=-112.732155, 			lat=33.451378-112.732155
2390, 			33.427357lon=-112.6244, 			lat=33.427357-112.6244
2395, 			33.452137lon=-112.53289, 			lat=33.452137-112.53289
2400, 			33.46139lon=-112.43399, 			lat=33.46139-112.43399
2405, 			33.457626lon=-112.32885, 			lat=33.457626-112.32885
2410, 			33.462376lon=-112.22357, 			lat=33.462376-112.22357
2415, 			33.461784lon=-112.1184, 			lat=33.461784-112.1184
2420, 			33.44052lon=-112.037544, 			lat=33.44052-112.037544
2425, 			33.394547lon=-111.967735, 			lat=33.394547-111.967735
2430, 			33.305595lon=-111.97232, 			lat=33.305595-111.97232
2435, 			33.22863lon=-111.92768, 			lat=33.22863-111.92768
2440, 			33.153183lon=-111.869385, 			lat=33.153183-111.869385
2445, 			33.07286lon=-111.80757, 			lat=33.07286-111.80757
2450, 			33.041565lon=-111.785065, 			lat=33.041565-111.785065
2455, 			33.041565lon=-111.785065, 			lat=33.041565-111.785065
2460, 			33.041565lon=-111.785065, 			lat=33.041565-111.785065
2465, 			33.041565lon=-111.785065, 			lat=33.041565-111.785065
2470, 			33.041565lon=-111.785065, 			lat=33.041565-111.785065
2475, 			33.041565lon=-111.785065, 			lat=33.041565-111.785065
2480, 			33.041565lon=-111.785065, 			lat=33.041565-111.785065
2485, 			33.041565lon=-111.785065, 			lat=33.041565-111.785065
2490, 			33.041565lon=-111.785065, 			lat=33.041565-111.785065
2495, 			33.041565lon=-111.785065, 			lat=33.041565-111.785065
2500, 			33.041565lon=-111.785065, 			lat=33.041565-111.785065
2505, 			33.041565lon=-111.785065, 			lat=33.041565-111.785065
2510, 			33.041565lon=-111.785065, 			lat=33.041565-111.785065
2515, 			33.041626lon=-111.785095, 			lat=33.041626-111.785095
2520, 			33.041584lon=-111.785065, 			lat=33.041584-111.785065
2525, 			33.041573lon=-111.78507, 			lat=33.041573-111.78507
2530, 			33.041576lon=-111.78505, 			lat=33.041576-111.78505
2535, 			33.04157lon=-111.78506, 			lat=33.04157-111.78506
2540, 			33.041603lon=-111.785034, 			lat=33.041603-111.785034
2545, 			33.041637lon=-111.78514, 			lat=33.041637-111.78514
2550, 			33.04135lon=-111.78514, 			lat=33.04135-111.78514
2555, 			33.04152lon=-111.78504, 			lat=33.04152-111.78504
